STAID,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01059000,21,22,20,40,36,6,21,25,22,21,4,12,15,24,27,0,11,11,6,18,14,13,11,18,12,8,40,10,23,13,25,16,11,20,5,52,22,24,38,20,22,33,14,9,17,9,4,28,15,21,12
01170100,23,27,33,33,6,26,15,23,14,28,7,9,21,30,30,3,16,16,13,17,25,6,5,23,16,10,27,19,18,17,12,21,4,31,9,20,23,18,35,13,25,33,4,20,28,10,3,23,24,10,11
01111500,17,7,53,24,16,24,11,24,30,28,12,10,25,43,35,3,19,20,9,20,24,9,12,20,24,0,41,10,24,14,7,14,6,23,9,24,26,17,28,5,27,26,2,13,9,6,6,13,39,16,10
01101000,17,10,35,21,0,4,18,37,24,23,0,9,19,82,57,0,19,21,0,0,4,4,0,24,25,1,40,13,38,4,18,23,3,25,18,35,40,22,37,18,38,27,4,13,17,9,0,15,24,7,0
01208500,19,9,40,37,16,27,16,26,21,38,20,10,22,45,26,2,16,14,4,30,11,8,11,26,20,8,43,1,13,15,6,19,3,24,8,25,38,9,25,7,23,42,1,17,14,5,4,9,29,20,14
01038000,23,22,21,32,9,4,23,35,24,26,6,1,17,50,24,3,17,16,1,22,22,9,10,25,27,8,28,4,16,24,15,15,5,20,5,63,32,9,27,23,31,26,7,3,29,13,6,10,14,16,17
01134500,15,20,18,27,26,5,23,21,18,18,5,16,19,22,22,10,16,14,13,23,28,12,10,10,22,10,20,23,16,12,19,9,22,19,8,31,24,23,33,23,14,31,11,18,18,20,11,18,22,30,14
01112500,17,4,49,20,13,17,11,18,28,30,10,6,24,44,35,0,16,24,6,11,14,7,8,19,23,1,41,11,31,11,11,25,5,23,12,38,33,21,38,5,33,32,2,17,10,8,4,12,42,17,8
01163200,21,10,28,35,7,23,13,17,11,29,11,9,26,36,22,2,14,18,5,10,17,21,2,24,28,12,48,14,22,9,18,24,2,30,12,38,17,10,39,5,26,28,2,18,20,8,3,18,44,19,7
01092000,17,13,23,41,7,6,11,22,15,30,7,15,17,38,38,0,17,20,4,17,22,0,1,23,16,11,52,13,28,9,18,18,3,21,8,51,38,17,42,17,28,43,4,1,24,5,4,22,21,19,8
01181000,19,19,35,34,12,23,16,29,15,28,11,8,14,29,22,3,9,15,14,22,27,7,9,33,17,11,37,7,15,17,20,21,8,32,20,31,24,14,35,11,24,26,2,11,23,8,4,15,30,11,9
01197500,14,6,47,33,13,34,19,35,12,28,10,9,17,19,27,2,10,13,10,17,31,4,1,32,18,11,42,7,14,13,18,19,1,34,10,27,16,14,37,12,25,39,1,16,29,11,4,14,42,13,5
01022500,14,19,27,28,5,9,20,29,17,29,9,8,18,30,20,3,13,15,9,17,18,10,6,23,13,12,24,1,23,22,10,5,23,24,2,51,28,13,43,26,24,16,17,16,40,21,14,10,24,30,14
01169900,17,21,34,35,5,19,10,22,19,28,9,9,13,27,28,4,16,21,12,14,25,10,6,26,21,12,42,16,20,19,20,23,5,34,15,37,23,17,38,15,24,24,3,9,22,7,6,13,28,8,15
01081000,18,0,13,53,22,0,10,24,16,33,0,2,17,77,59,0,2,19,0,13,0,0,0,15,0,0,39,3,39,0,27,5,0,12,4,85,93,24,50,22,29,58,4,6,0,0,0,9,10,22,1
01124000,28,0,34,25,11,19,9,16,20,30,15,10,34,57,43,0,19,18,4,18,3,4,4,30,26,3,43,4,15,12,7,20,0,16,5,38,23,15,43,2,25,44,0,17,15,8,3,11,40,35,14
01117000,13,7,43,25,7,18,14,23,27,41,17,1,24,70,31,7,19,20,9,24,9,9,10,29,21,1,22,12,37,11,15,27,7,24,13,26,23,14,14,19,37,14,3,10,13,4,3,15,27,19,11
01139800,21,18,21,48,37,29,34,28,30,14,1,17,24,39,35,1,13,15,8,30,22,2,14,20,21,2,34,25,17,13,14,11,9,9,2,25,18,16,27,21,15,31,2,11,9,18,8,23,21,27,9
01179500,20,15,31,38,10,32,14,30,12,31,19,11,20,28,41,4,16,18,15,19,0,0,0,0,0,0,37,7,17,11,17,16,4,21,11,24,22,16,33,7,24,37,1,15,17,5,4,14,27,14,8
01197000,15,9,29,26,9,29,16,28,8,23,7,7,16,23,27,4,17,14,11,18,32,6,9,34,17,13,45,9,18,8,20,22,3,30,11,25,18,20,48,13,26,33,2,18,28,17,6,20,28,17,8
